municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Teixeirópolis (RO),Teixeirópolis,RO,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,10.0,,,,,65.0,46.0,85.5324,15.395832,,0.0,0.0,46.0,85.5324,15.395832,,3.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,30.0,,1.0,,8.0,,5.0,29.56523681,16.92719901,,,,,,,,,0.0,0.0,,,10.0,,0.0,0.0,,0.0,0.0,,,
Theobroma (RO),Theobroma,RO,3.0,,,,0.0,0.0,,0.0,0.0,,,20.0,138.7378435,63.11878191,,0.0,0.0,,100.0,,,,,276.0,320.0,595.008,107.10144,,0.0,0.0,320.0,595.008,107.10144,,30.0,,,,,,0.0,,0.0,0.0,,,,,,,10.0,,,,,,,,,,,,,,314.0,,7.0,,20.0,,1343.0,7941.222606,4546.645655,,,,,,,,1900.0,6508.104098,4407.082177,,,,,0.0,0.0,,0.0,0.0,,35.0,
Urupá (RO),Urupá,RO,1.0,,,,0.0,0.0,,0.0,0.0,,2.0,,0.0,0.0,,0.0,0.0,,12.0,4.0,,,,96.0,118.0,219.4092,39.493656,,0.0,0.0,118.0,219.4092,39.493656,,5.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,7.0,,,,1.0,,,,2.0,,,,2.0,,22.0,,2.0,,4.0,,120.0,709.5656834,406.2527763,,2.0,,,,,,,0.0,0.0,,,3.0,,0.0,0.0,,0.0,0.0,,,
Vale do Anari (RO),Vale do Anari,RO,5.0,,,,0.0,0.0,,0.0,0.0,,5.0,695.0,4821.140062,2193.377671,,0.0,0.0,,10.0,,,,,50.0,330.0,613.602,110.44836,,0.0,0.0,330.0,613.602,110.44836,,30.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,3.0,,,,,,,20.0,,3.0,,20.0,,2277.0,13464.00884,7708.64643,,,,,2.0,,,3568.0,12221.53443,8276.036425,,,,,0.0,0.0,,0.0,0.0,,9.0,
Vale do Paraíso (RO),Vale do Paraíso,RO,4.0,2.0,,,0.0,0.0,,0.0,0.0,,4.0,,0.0,0.0,,0.0,0.0,,30.0,4.0,,,,70.0,120.0,223.128,40.16304,,0.0,0.0,120.0,223.128,40.16304,,5.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,5.0,,,,,,,2.0,,,,,2.0,,32.0,,3.0,,5.0,,10.0,59.13047361,33.85439802,,,,,,,,,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,
Acrelândia (AC),Acrelândia,AC,20.0,17.0,,,0.0,0.0,,0.0,0.0,,,80.0,554.9513741,252.4751276,,0.0,0.0,,1150.0,,,48.0,,,550.0,1022.67,184.0806,,0.0,0.0,550.0,1022.67,184.0806,,25.0,,,,,,0.0,,0.0,0.0,,,,,,,250.0,,,,,,,45.0,30.0,,,,,,450.0,,8.0,,35.0,,1100.0,6504.352098,3723.983783,,,,,,,,25.0,85.63294866,57.98792338,,,,,0.0,0.0,,0.0,0.0,,16.0,
Assis Brasil (AC),Assis Brasil,AC,12.0,,,,0.0,0.0,,0.0,0.0,,,210.0,1456.747357,662.74721,,0.0,0.0,,260.0,,,4.0,,,45.0,83.673,15.06114,,0.0,0.0,45.0,83.673,15.06114,,14.0,,,,,,0.0,,0.0,0.0,,,,,,,210.0,,,,,,,4.0,3.0,,,,,,330.0,,,,32.0,,585.0,3459.132706,1980.482284,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Brasiléia (AC),Brasiléia,AC,12.0,,,,0.0,0.0,,0.0,0.0,,,350.0,2427.912262,1104.578683,,0.0,0.0,,190.0,,,64.0,,,80.0,148.752,26.77536,,0.0,0.0,80.0,148.752,26.77536,,12.0,,,,,,0.0,,0.0,0.0,,,,,,,550.0,,,,,,,10.0,7.0,,,,,,500.0,,3.0,,35.0,,1980.0,11707.83378,6703.170809,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Bujari (AC),Bujari,AC,20.0,70.0,,,0.0,0.0,,0.0,0.0,,,80.0,554.9513741,252.4751276,,0.0,0.0,,200.0,,,100.0,,,4.0,7.4376,1.338768,,0.0,0.0,4.0,7.4376,1.338768,,38.0,,,,,,0.0,,0.0,0.0,,,,,,,250.0,,,,,,,25.0,43.0,,,,,,550.0,,5.0,,90.0,,1300.0,7686.96157,4401.071743,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Capixaba (AC),Capixaba,AC,60.0,,,,0.0,0.0,,0.0,0.0,,,150.0,1040.533826,473.3908643,,0.0,0.0,,310.0,,,70.0,,,7.0,13.0158,2.342844,,0.0,0.0,7.0,13.0158,2.342844,,30.0,,,,,,0.0,,0.0,0.0,,,,,,,140.0,,,,,,,18.0,13.0,,,,,,480.0,,90.0,,70.0,,3300.0,19513.05629,11171.95135,,,,,,,,3200.0,10961.01743,7422.454192,,,,,0.0,0.0,,0.0,0.0,,,
Cruzeiro do Sul (AC),Cruzeiro do Sul,AC,30.0,,,,0.0,0.0,,0.0,0.0,,,250.0,1734.223044,788.9847739,,0.0,0.0,,360.0,,,,,,32.0,59.5008,10.710144,,0.0,0.0,32.0,59.5008,10.710144,,30.0,,,,,,0.0,,0.0,0.0,,25.0,45.0,,,,320.0,,,,,,,20.0,8.0,,,,,,2450.0,,,,80.0,,710.0,4198.263627,2403.66226,,,,,,,,273.0,935.1117994,633.2281233,,,,,0.0,0.0,,0.0,0.0,,,
Epitaciolândia (AC),Epitaciolândia,AC,60.0,13.0,,,0.0,0.0,,0.0,0.0,,,180.0,1248.640592,568.0690372,,0.0,0.0,,300.0,,,30.0,,,35.0,65.079,11.71422,,0.0,0.0,35.0,65.079,11.71422,,11.0,,,,,,0.0,,0.0,0.0,,,,,,,185.0,,,,,,,12.0,7.0,,,,,,530.0,,4.0,,70.0,,1900.0,11234.78999,6432.335624,,,,,,,,300.0,1027.595384,695.8550805,60.0,,,,0.0,0.0,,0.0,0.0,,,
Feijó (AC),Feijó,AC,20.0,,,,0.0,0.0,,0.0,0.0,,,240.0,1664.854122,757.4253829,,0.0,0.0,,750.0,,,,,,42.0,78.0948,14.057064,,0.0,0.0,42.0,78.0948,14.057064,,20.0,,,,,,0.0,,0.0,0.0,,,,,,,137.0,,8.0,,,,,9.0,8.0,,,,,,2000.0,,,,50.0,,2800.0,16556.53261,9479.231446,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Jordão (AC),Jordão,AC,10.0,,,,0.0,0.0,,0.0,0.0,,,44.0,305.2232557,138.8613202,,0.0,0.0,,125.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,,,,,,0.0,,0.0,0.0,,,,,,,27.0,,,,,,,5.0,3.0,,,,,,500.0,,,,19.0,,480.0,2838.262733,1625.011105,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Mâncio Lima (AC),Mâncio Lima,AC,6.0,,,,0.0,0.0,,0.0,0.0,,,120.0,832.4270611,378.7126914,,0.0,0.0,,70.0,,,,,,75.0,139.455,25.1019,,0.0,0.0,75.0,139.455,25.1019,,20.0,,,,,,0.0,,0.0,0.0,,17.0,,,,,280.0,,,,,,,3.0,5.0,,,,,,1960.0,,4.0,,90.0,,450.0,2660.871313,1523.447911,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Manoel Urbano (AC),Manoel Urbano,AC,5.0,,,,0.0,0.0,,0.0,0.0,,,80.0,554.9513741,252.4751276,,0.0,0.0,,360.0,,,,,,60.0,111.564,20.08152,,0.0,0.0,60.0,111.564,20.08152,,14.0,,,,,,0.0,,0.0,0.0,,,,,,,180.0,,,,,,,7.0,14.0,,,,,,330.0,,3.0,,32.0,,650.0,3843.480785,2200.535872,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,12.0,
Marechal Thaumaturgo (AC),Marechal Thaumaturgo,AC,8.0,,,,0.0,0.0,,0.0,0.0,,,160.0,1109.902748,504.9502553,,0.0,0.0,,130.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,25.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,350.0,,100.0,,,,,5.0,3.0,,,,,,1695.0,,,,90.0,,500.0,2956.523681,1692.719901,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Plácido de Castro (AC),Plácido de Castro,AC,10.0,30.0,,,0.0,0.0,,0.0,0.0,,,30.0,208.1067653,94.67817286,,0.0,0.0,,350.0,,,120.0,,,45.0,83.673,15.06114,,0.0,0.0,45.0,83.673,15.06114,,13.0,,,,,,0.0,,0.0,0.0,,,,,,,60.0,,,,,,,70.0,75.0,,,,,,430.0,,13.0,,25.0,,4100.0,24243.49418,13880.30319,,,,,,,,6200.0,21236.97127,14381.005,,,,,0.0,0.0,,0.0,0.0,,,
Porto Walter (AC),Porto Walter,AC,3.0,,,,0.0,0.0,,0.0,0.0,,,65.0,450.8979914,205.1360412,,0.0,0.0,,150.0,,,,,,9.0,16.7346,3.012228,,0.0,0.0,9.0,16.7346,3.012228,,12.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,180.0,,,,,,,4.0,2.0,,,,,,760.0,,,,25.0,,200.0,1182.609472,677.0879605,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Rio Branco (AC),Rio Branco,AC,24.0,,,,0.0,0.0,,0.0,0.0,,,130.0,901.7959829,410.2720824,,0.0,0.0,,550.0,,,17.0,,,5.0,9.297,1.67346,,0.0,0.0,5.0,9.297,1.67346,,28.0,,,,,,0.0,,0.0,0.0,,,,,,,270.0,,,,,,,30.0,25.0,,,,,,1050.0,,20.0,,110.0,,3500.0,20695.66576,11849.03931,,,,,,,,1660.0,5686.027791,3850.398112,,,,,0.0,0.0,,0.0,0.0,,10.0,
Rodrigues Alves (AC),Rodrigues Alves,AC,15.0,,,,0.0,0.0,,0.0,0.0,,,260.0,1803.591966,820.5441648,,0.0,0.0,,85.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,15.0,,,,,,0.0,,0.0,0.0,,20.0,,,,,300.0,,,,,,,5.0,5.0,,,,,,1850.0,,,,40.0,,450.0,2660.871313,1523.447911,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Santa Rosa do Purus (AC),Santa Rosa do Purus,AC,7.0,,,,0.0,0.0,,0.0,0.0,,50.0,35.0,242.7912262,110.4578683,,0.0,0.0,,170.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,,,,,,0.0,,0.0,0.0,,,,,,,42.0,,,,,,,6.0,5.0,,,,,,250.0,,,,35.0,,300.0,1773.914208,1015.631941,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,3.0,
Senador Guiomard (AC),Senador Guiomard,AC,24.0,,,,0.0,0.0,,0.0,0.0,,,65.0,450.8979914,205.1360412,,0.0,0.0,,270.0,,,240.0,,,40.0,74.376,13.38768,,0.0,0.0,40.0,74.376,13.38768,,14.0,,,,,,0.0,,0.0,0.0,,,,,,,100.0,,,,,,,25.0,25.0,,,,,,650.0,,35.0,,155.0,,4600.0,27200.01786,15573.02309,,25.0,,,,,,2950.0,10104.68794,6842.574959,,,,,0.0,0.0,,0.0,0.0,,4.0,
Sena Madureira (AC),Sena Madureira,AC,9.0,,,,0.0,0.0,,0.0,0.0,,,280.0,1942.329809,883.6629467,,0.0,0.0,,225.0,,,76.0,,,31.0,57.6414,10.375452,,0.0,0.0,31.0,57.6414,10.375452,,15.0,,,,,,0.0,,0.0,0.0,,,,,,,650.0,,25.0,,,,,30.0,20.0,,,,,,1600.0,,4.0,,40.0,,1900.0,11234.78999,6432.335624,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,3.0,
Tarauacá (AC),Tarauacá,AC,53.0,,,,0.0,0.0,,0.0,0.0,,,295.0,2046.383192,931.0020331,,0.0,0.0,,750.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,25.0,,,,,,0.0,,0.0,0.0,,,,,,,158.0,,,,,,,14.0,8.0,,,,,,2250.0,,,,61.0,,2400.0,14191.31367,8125.055526,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Xapuri (AC),Xapuri,AC,11.0,,,,0.0,0.0,,0.0,0.0,,,520.0,3607.183931,1641.08833,,0.0,0.0,,230.0,,,45.0,,,40.0,74.376,13.38768,,0.0,0.0,40.0,74.376,13.38768,,25.0,,,,,,0.0,,0.0,0.0,,,,,,,400.0,,,,,,,10.0,3.0,,,,,,680.0,,2.0,,60.0,,2520.0,14900.87935,8531.308302,,,,,,,,1600.0,5480.508714,3711.227096,,,,,0.0,0.0,,0.0,0.0,,,
Porto Acre (AC),Porto Acre,AC,50.0,,,,0.0,0.0,,0.0,0.0,,,125.0,867.111522,394.4923869,,0.0,0.0,,650.0,,,,,,15.0,27.891,5.02038,,0.0,0.0,15.0,27.891,5.02038,,14.0,,,,,,0.0,,0.0,0.0,,,,,,,100.0,,,,,,,32.0,15.0,,,,,,650.0,,9.0,,90.0,,1900.0,11234.78999,6432.335624,,,,,,,,1370.0,4692.685587,3177.738201,,,,,0.0,0.0,,0.0,0.0,,2.0,
Alvarães (AM),Alvarães,AM,1.0,40.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,40.0,,,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,6.0,,,,,,,,,,,,2.0,,900.0,,,,50.0,,10.0,59.13047361,33.85439802,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Amaturá (AM),Amaturá,AM,3.0,7.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,190.0,2.0,,,,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,1.0,,,,3.0,,,1.0,1.0,,,,3.0,,550.0,1.0,,,40.0,10.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Anamã (AM),Anamã,AM,,30.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,48.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,110.0,38.0,,120.0,,13.0,,,,45.0,266.0871313,152.3447911,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Anori (AM),Anori,AM,,255.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,35.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,30.0,,,,2.0,,,,1.0,,,135.0,2.0,,160.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Apuí (AM),Apuí,AM,16.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,100.0,15.0,,,,50.0,250.0,464.85,83.673,,0.0,0.0,250.0,464.85,83.673,,4.0,,,,,,0.0,,0.0,0.0,,10.0,,,,,7.0,,,,,125.0,,15.0,4.0,,,,4.0,,950.0,,2.0,,150.0,,700.0,4139.133153,2369.807862,,,,,2.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Atalaia do Norte (AM),Atalaia do Norte,AM,2.0,1.0,,,0.0,0.0,,0.0,0.0,,,2.0,13.87378435,6.311878191,,0.0,0.0,,150.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,,,,,,0.0,,0.0,0.0,,,,,,,4.0,,,,1.0,,,1.0,3.0,,,,1.0,,305.0,,,,14.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Autazes (AM),Autazes,AM,30.0,25.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,110.0,2.0,,,,40.0,6.0,11.1564,2.008152,,0.0,0.0,6.0,11.1564,2.008152,,,,,,,,0.0,,0.0,0.0,,,,,,,5.0,,,,5.0,25.0,,30.0,5.0,,,,30.0,,4300.0,,50.0,,50.0,,20.0,118.2609472,67.70879605,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Barcelos (AM),Barcelos,AM,2.0,35.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,80.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,85.0,,,,1.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Barreirinha (AM),Barreirinha,AM,2.0,2.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,25.0,,,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,1.0,,,,,50.0,,5.0,5.0,,,,1.0,,70.0,,2.0,,10.0,,2.0,11.82609472,6.770879605,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Benjamin Constant (AM),Benjamin Constant,AM,15.0,42.0,,,0.0,0.0,,0.0,0.0,,,30.0,208.1067653,94.67817286,,0.0,0.0,,100.0,1.0,,,,3.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,10.0,,,,5.0,,,5.0,15.0,,,,20.0,,700.0,3.0,25.0,,40.0,3.0,,0.0,0.0,,,,,,,,,0.0,0.0,,3.0,,,0.0,0.0,,0.0,0.0,,,
Beruri (AM),Beruri,AM,,32.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,85.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,12.0,,,,75.0,,,201.0,,,,22.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Boa Vista do Ramos (AM),Boa Vista do Ramos,AM,4.0,,,,0.0,0.0,,0.0,0.0,,,4.0,27.7475687,12.62375638,,0.0,0.0,,50.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,4.0,,,,,80.0,,5.0,,,,,2.0,,400.0,,4.0,,10.0,,2.0,11.82609472,6.770879605,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Boca do Acre (AM),Boca do Acre,AM,6.0,,,,0.0,0.0,,0.0,0.0,,,80.0,554.9513741,252.4751276,,0.0,0.0,,360.0,,,,,160.0,4.0,7.4376,1.338768,,0.0,0.0,4.0,7.4376,1.338768,,20.0,,,,,,0.0,,0.0,0.0,,,,,,,186.0,,,,,,,5.0,4.0,,,,4.0,,800.0,,3.0,,100.0,,800.0,4730.437889,2708.351842,,,,,2.0,,,1100.0,3767.849741,2551.468629,,,,,0.0,0.0,,0.0,0.0,,,
Borba (AM),Borba,AM,6.0,350.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,115.0,12.0,,,,300.0,3.0,5.5782,1.004076,,0.0,0.0,3.0,5.5782,1.004076,,,,,,,,0.0,,0.0,0.0,,3.0,,,,,6.0,,,,3.0,12.0,,15.0,6.0,,,,4.0,,2400.0,,6.0,,100.0,5.0,15.0,88.69571042,50.78159703,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Caapiranga (AM),Caapiranga,AM,5.0,140.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,120.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,3.0,,,6.0,,,,10.0,,,98.0,,,,18.0,,5.0,29.56523681,16.92719901,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Canutama (AM),Canutama,AM,95.0,255.0,,,0.0,0.0,,0.0,0.0,,,850.0,5896.358349,2682.548231,,0.0,0.0,,190.0,15.0,,,,,10.0,18.594,3.34692,,0.0,0.0,10.0,18.594,3.34692,,,,,,,,0.0,,0.0,0.0,,,,,,,15.0,,,,,,,10.0,5.0,,,,,,470.0,,,,105.0,10.0,800.0,4730.437889,2708.351842,,,,,,,,2057.0,7045.879016,4771.246336,,,,,0.0,0.0,,0.0,0.0,,,
Carauari (AM),Carauari,AM,10.0,427.0,,,0.0,0.0,,0.0,0.0,,,8.0,55.49513741,25.24751276,,0.0,0.0,,40.0,5.0,,,,,2.0,3.7188,0.669384,,0.0,0.0,2.0,3.7188,0.669384,,4.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,8.0,,,,,,,4.0,2.0,,,,1.0,,760.0,,,,16.0,,9.0,53.21742625,30.46895822,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Careiro (AM),Careiro,AM,50.0,25.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,120.0,,,,,,5.0,9.297,1.67346,,0.0,0.0,5.0,9.297,1.67346,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,20.0,,,25.0,9.0,,,,8.0,,950.0,,10.0,,60.0,,7.0,41.39133153,23.69807862,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Careiro da Várzea (AM),Careiro da Várzea,AM,60.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,120.0,7.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,5.0,,,,5.0,,,5.0,5.0,,,,25.0,,140.0,,15.0,,15.0,,10.0,59.13047361,33.85439802,,,,,,,,,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,
Coari (AM),Coari,AM,70.0,790.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,250.0,4.0,,,,170.0,20.0,37.188,6.69384,,0.0,0.0,20.0,37.188,6.69384,,10.0,,,,,,0.0,,0.0,0.0,,10.0,,,,,10.0,,,,,33.0,,8.0,10.0,,,380.0,15.0,,1570.0,,10.0,,50.0,5.0,45.0,266.0871313,152.3447911,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Codajás (AM),Codajás,AM,12.0,2600.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,65.0,,,,,20.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,20.0,,,,10.0,,,200.0,15.0,,650.0,,15.0,,140.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Eirunepé (AM),Eirunepé,AM,30.0,10.0,,,0.0,0.0,,0.0,0.0,,,10.0,69.36892176,31.55939095,,0.0,0.0,,80.0,40.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,100.0,,,,,,0.0,,0.0,0.0,,10.0,,,,,36.0,,,,,,,6.0,8.0,,,,7.0,,1420.0,,12.0,,53.0,5.0,75.0,443.4785521,253.9079852,,,,,,,,,0.0,0.0,,1.0,,,0.0,0.0,,0.0,0.0,,,
Envira (AM),Envira,AM,9.0,7.0,,,0.0,0.0,,0.0,0.0,,,176.0,1220.893023,555.4452808,,0.0,0.0,,261.0,23.0,,,,,16.0,29.7504,5.355072,,0.0,0.0,16.0,29.7504,5.355072,,42.0,,,,,,0.0,,0.0,0.0,,10.0,,,,,72.0,,,,,,,4.0,2.0,,,,2.0,,748.0,,1.0,,90.0,1.0,520.0,3074.784628,1760.428697,,,,,,,,,0.0,0.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,,3.0,
Fonte Boa (AM),Fonte Boa,AM,2.0,50.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,40.0,,,,,3.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,5.0,1.0,,,,1.0,,200.0,,,,10.0,8.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Guajará (AM),Guajará,AM,5.0,,,,0.0,0.0,,0.0,0.0,,,6.0,41.62135306,18.93563457,,0.0,0.0,,8.0,4.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.0,,,,,,0.0,,0.0,0.0,,,,,,,15.0,,,,,,,,,,,,2.0,,300.0,,,,8.0,,31.0,183.3044682,104.9486339,,,,,,,,65.0,222.6456665,150.7686008,,,,,0.0,0.0,,0.0,0.0,,,
Humaitá (AM),Humaitá,AM,20.0,1600.0,,,0.0,0.0,,0.0,0.0,,,4682.0,32478.52917,14776.10684,,0.0,0.0,,400.0,15.0,,,,20.0,260.0,483.444,87.01992,,0.0,0.0,260.0,483.444,87.01992,,5.0,,,,,,0.0,,0.0,0.0,,15.0,,,,,,,,,,,,,5.0,,,,5.0,,1405.0,,8.0,,180.0,,2500.0,14782.6184,8463.599506,,,,,,,,17000.0,58230.40509,39431.7879,,,,,0.0,0.0,,0.0,0.0,,,
